customer_id,customer_name,region,segment
CUST-JOIN-0001,Freight Account 1,Asia Pacific,SMB
CUST-JOIN-0002,Freight Account 2,Europe,Startup
CUST-JOIN-0003,Freight Account 3,Europe,SMB
CUST-JOIN-0004,Freight Account 4,North America,SMB
CUST-JOIN-0005,Freight Account 5,Asia Pacific,SMB
CUST-JOIN-0006,Freight Account 6,North America,Startup
CUST-JOIN-0007,Freight Account 7,Europe,SMB
CUST-JOIN-0008,Freight Account 8,Europe,Startup
CUST-JOIN-0009,Freight Account 9,Europe,Startup
CUST-JOIN-0010,Freight Account 10,North America,Startup
CUST-JOIN-0011,Freight Account 11,Asia Pacific,Startup
CUST-JOIN-0012,Freight Account 12,Asia Pacific,Enterprise
CUST-JOIN-0013,Freight Account 13,Europe,Startup
CUST-JOIN-0014,Freight Account 14,North America,SMB
CUST-JOIN-0015,Freight Account 15,North America,Startup
CUST-JOIN-0016,Freight Account 16,North America,Startup
CUST-JOIN-0017,Freight Account 17,Asia Pacific,Startup
CUST-JOIN-0018,Freight Account 18,Europe,SMB
CUST-JOIN-0019,Freight Account 19,Europe,SMB
CUST-JOIN-0020,Freight Account 20,Asia Pacific,SMB
CUST-JOIN-0021,Freight Account 21,Europe,Startup
CUST-JOIN-0022,Freight Account 22,North America,SMB
CUST-JOIN-0023,Freight Account 23,Europe,SMB
CUST-JOIN-0024,Freight Account 24,Europe,Startup
CUST-JOIN-0025,Freight Account 25,Asia Pacific,Startup
CUST-JOIN-0026,Freight Account 26,North America,SMB
CUST-JOIN-0027,Freight Account 27,North America,SMB
CUST-JOIN-0028,Freight Account 28,Asia Pacific,SMB
CUST-JOIN-0029,Freight Account 29,Europe,Startup
CUST-JOIN-0030,Freight Account 30,North America,Startup
CUST-JOIN-0031,Freight Account 31,Asia Pacific,Startup
CUST-JOIN-0032,Freight Account 32,Europe,Startup
CUST-JOIN-0033,Freight Account 33,Asia Pacific,SMB
CUST-JOIN-0034,Freight Account 34,North America,SMB
CUST-JOIN-0035,Freight Account 35,Europe,Enterprise
CUST-JOIN-0036,Freight Account 36,Europe,SMB
CUST-JOIN-0037,Freight Account 37,North America,Startup
CUST-JOIN-0038,Freight Account 38,North America,Startup
CUST-JOIN-0039,Freight Account 39,Europe,Startup
CUST-JOIN-0040,Freight Account 40,Europe,Startup
