event_id,shipment_id,origin_hub,current_facility,destination_hub,event_timestamp,scan_type,actual_dwell,average_dwell,dwell_duration_seconds,avg_dwell_baseline_seconds,yard_queue_count,yard_max_capacity,weather_condition,weather_exception,traffic_congestion_level,gps_latitude,gps_longitude,sla_deadline_timestamp,carrier_id
EV-010000,LGS-1000-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-MEMPHIS,2026-07-31T23:59:56Z,WAYPOINT_SCAN,2780,3600,2780,3600,25,30,CLEAR,False,LOW,39.6847,-17.0257,2026-08-01T23:59:56Z,CR-DHL
EV-010001,LGS-1001-ROUTE,HUB-SINGAPORE,HUB-SINGAPORE,HUB-NEWYORK,2026-08-01T00:00:39Z,YARD_DEPARTURE,853,2400,853,2400,2,30,CLEAR,False,HEAVY,49.0689,-114.6925,2026-08-03T00:00:39Z,CR-UPS
EV-010002,LGS-1002-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-MEMPHIS,2026-08-01T00:01:04Z,YARD_DEPARTURE,4140,3600,4140,3600,20,30,CLEAR,True,MODERATE,31.3552,-38.0733,2026-08-03T00:01:04Z,CR-UPS
EV-010003,LGS-1003-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-MEMPHIS,2026-08-01T00:01:30Z,YARD_DEPARTURE,5159,4800,5159,4800,14,30,MODERATE,False,LOW,32.5247,-109.6242,2026-08-02T00:01:30Z,CR-USPS
EV-010004,LGS-1004-ROUTE,HUB-ATLANTA,HUB-HOUSTON,HUB-SEATTLE,2026-08-01T00:01:57Z,HUB_INGEST,4313,3600,4313,3600,9,30,MODERATE,False,LOW,50.5939,-66.4523,2026-08-02T12:01:57Z,CR-UPS
EV-010005,LGS-1005-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:02:26Z,CUSTOMS_CLEARANCE,6115,3600,6115,3600,22,30,CLEAR,False,LOW,25.7184,-76.393,2026-08-02T12:02:26Z,CR-MAERSK
EV-010006,LGS-1006-ROUTE,HUB-MIAMI,HUB-ATLANTA,HUB-HOUSTON,2026-08-01T00:03:08Z,HUB_INGEST,6251,4800,6251,4800,14,30,SNOWSTORM,False,MODERATE,38.1055,-68.9997,2026-08-02T12:03:08Z,CR-FEDEX
EV-010007,LGS-1007-ROUTE,HUB-SINGAPORE,HUB-SEATTLE,HUB-LOSANGELES,2026-08-01T00:03:30Z,TRANSFER_ARRIVE,7765,4800,7765,4800,6,30,CLEAR,False,MODERATE,39.2767,-47.045,2026-08-04T00:03:30Z,CR-DHL
EV-010008,LGS-1008-ROUTE,HUB-NEWYORK,HUB-NEWYORK,HUB-DETROIT,2026-08-01T00:04:00Z,CUSTOMS_CLEARANCE,2631,2400,2631,2400,23,30,CLEAR,False,HEAVY,43.2446,-106.0483,2026-08-03T00:04:00Z,CR-MAERSK
EV-010009,LGS-1009-ROUTE,HUB-ATLANTA,HUB-CHICAGO,HUB-DETROIT,2026-08-01T00:04:23Z,YARD_DEPARTURE,3334,3600,3334,3600,5,30,CLEAR,False,MODERATE,30.2376,-94.8868,2026-08-02T12:04:23Z,CR-DHL
EV-010010,LGS-1010-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-MEMPHIS,2026-08-01T00:04:57Z,YARD_DEPARTURE,4750,3600,4750,3600,20,30,CLEAR,True,LOW,40.4281,-110.761,2026-08-03T00:04:57Z,CR-DHL
EV-010011,LGS-1011-ROUTE,HUB-ATLANTA,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:05:22Z,YARD_DEPARTURE,5230,2400,5230,2400,27,30,CLEAR,False,MODERATE,27.9556,-36.8495,2026-08-02T12:05:22Z,CR-USPS
EV-010012,LGS-1012-ROUTE,HUB-HOUSTON,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:05:51Z,YARD_DEPARTURE,2858,3600,2858,3600,19,30,CLEAR,True,MODERATE,32.2092,-117.8494,2026-08-02T00:05:51Z,CR-UPS
EV-010013,LGS-1013-ROUTE,HUB-FRANKFURT,HUB-SEATTLE,HUB-NEWYORK,2026-08-01T00:06:31Z,TRANSFER_ARRIVE,5880,3600,5880,3600,18,30,CLEAR,False,LOW,25.4079,-36.1167,2026-08-02T00:06:31Z,CR-DHL
EV-010014,LGS-1014-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:06:55Z,WAYPOINT_SCAN,5970,4800,5970,4800,7,30,HEAVY_RAIN,False,HEAVY,37.2421,6.3536,2026-08-03T00:06:55Z,CR-MAERSK
EV-010015,LGS-1015-ROUTE,HUB-MEMPHIS,HUB-MEMPHIS,HUB-CHICAGO,2026-08-01T00:07:21Z,CUSTOMS_CLEARANCE,4870,4800,4870,4800,21,30,CLEAR,False,MODERATE,29.728,-4.9575,2026-08-03T00:07:21Z,CR-DHL
EV-010016,LGS-1016-ROUTE,HUB-MEMPHIS,HUB-MIAMI,HUB-LOSANGELES,2026-08-01T00:07:50Z,WAYPOINT_SCAN,7203,4800,7203,4800,1,30,CLEAR,False,LOW,27.6123,-80.9611,2026-08-02T00:07:50Z,CR-UPS
EV-010017,LGS-1017-ROUTE,HUB-CHICAGO,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:08:31Z,CUSTOMS_CLEARANCE,1561,2400,1561,2400,20,30,CLEAR,False,SEVERE_GRIDLOCK,34.2963,-96.0097,2026-08-04T00:08:31Z,CR-DHL
EV-010018,LGS-1018-ROUTE,HUB-NEWYORK,HUB-LOSANGELES,HUB-DETROIT,2026-08-01T00:09:01Z,YARD_DEPARTURE,6201,4800,6201,4800,9,30,CLEAR,False,SEVERE_GRIDLOCK,27.1389,4.6449,2026-08-02T00:09:01Z,CR-FEDEX
EV-010019,LGS-1019-ROUTE,HUB-SINGAPORE,HUB-MEMPHIS,HUB-LOSANGELES,2026-08-01T00:09:36Z,HUB_INGEST,2777,2400,2777,2400,8,30,CLEAR,True,HEAVY,42.9392,-65.0858,2026-08-02T12:09:36Z,CR-DHL
EV-010020,LGS-1020-ROUTE,HUB-HOUSTON,HUB-CHICAGO,HUB-MEMPHIS,2026-08-01T00:09:59Z,TRANSFER_ARRIVE,6740,4800,6740,4800,11,30,CLEAR,False,HEAVY,30.4234,-77.4257,2026-08-04T00:09:59Z,CR-FEDEX
EV-010021,LGS-1021-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:10:35Z,CUSTOMS_CLEARANCE,4601,3600,4601,3600,7,30,CLEAR,False,LOW,44.1774,-107.9825,2026-08-02T00:10:35Z,CR-DHL
EV-010022,LGS-1022-ROUTE,HUB-MIAMI,HUB-LOSANGELES,HUB-HOUSTON,2026-08-01T00:11:04Z,YARD_DEPARTURE,5516,3600,5516,3600,21,30,CLEAR,True,SEVERE_GRIDLOCK,47.6761,-102.5139,2026-08-04T00:11:04Z,CR-MAERSK
EV-010023,LGS-1023-ROUTE,HUB-DETROIT,HUB-SINGAPORE,HUB-MIAMI,2026-08-01T00:11:34Z,HUB_INGEST,5457,4800,5457,4800,17,30,CLEAR,False,MODERATE,45.0151,-24.8671,2026-08-04T00:11:34Z,CR-DHL
EV-010024,LGS-1024-ROUTE,HUB-LOSANGELES,HUB-HOUSTON,HUB-FRANKFURT,2026-08-01T00:12:08Z,YARD_DEPARTURE,4878,4800,4878,4800,28,30,CLEAR,False,MODERATE,45.597,-97.8107,2026-08-04T00:12:08Z,CR-FEDEX
EV-010025,LGS-1025-ROUTE,HUB-MIAMI,HUB-MIAMI,HUB-HOUSTON,2026-08-01T00:12:31Z,TRANSFER_ARRIVE,2902,2400,2902,2400,21,30,MODERATE,False,HEAVY,42.3817,-100.8329,2026-08-03T00:12:31Z,CR-FEDEX
EV-010026,LGS-1026-ROUTE,HUB-MIAMI,HUB-MIAMI,HUB-HOUSTON,2026-08-01T00:13:09Z,HUB_INGEST,4419,3600,4419,3600,15,30,CLEAR,False,LOW,35.1601,-81.4985,2026-08-02T00:13:09Z,CR-USPS
EV-010027,LGS-1027-ROUTE,HUB-FRANKFURT,HUB-FRANKFURT,HUB-MEMPHIS,2026-08-01T00:13:22Z,CUSTOMS_CLEARANCE,5822,4800,5822,4800,8,30,CLEAR,False,HEAVY,34.4107,-1.6999,2026-08-03T00:13:22Z,CR-MAERSK
EV-010028,LGS-1028-ROUTE,HUB-SINGAPORE,HUB-SEATTLE,HUB-ATLANTA,2026-08-01T00:13:54Z,CUSTOMS_CLEARANCE,6218,4800,6218,4800,20,30,MODERATE,False,MODERATE,40.3614,-45.4356,2026-08-03T00:13:54Z,CR-UPS
EV-010029,LGS-1029-ROUTE,HUB-DETROIT,HUB-FRANKFURT,HUB-SEATTLE,2026-08-01T00:14:38Z,CUSTOMS_CLEARANCE,4219,3600,4219,3600,12,30,CLEAR,False,MODERATE,31.6973,-20.3706,2026-08-02T12:14:38Z,CR-FEDEX
EV-010030,LGS-1030-ROUTE,HUB-DETROIT,HUB-DETROIT,HUB-SEATTLE,2026-08-01T00:14:56Z,CUSTOMS_CLEARANCE,6215,4800,6215,4800,5,30,HEAVY_RAIN,False,MODERATE,34.3055,-27.9485,2026-08-02T12:14:56Z,CR-MAERSK
EV-010031,LGS-1031-ROUTE,HUB-SINGAPORE,HUB-MEMPHIS,HUB-LOSANGELES,2026-08-01T00:15:28Z,HUB_INGEST,6862,3600,6862,3600,8,30,CLEAR,False,MODERATE,29.1931,3.2345,2026-08-04T00:15:28Z,CR-USPS
EV-010032,LGS-1032-ROUTE,HUB-MEMPHIS,HUB-NEWYORK,HUB-LOSANGELES,2026-08-01T00:15:56Z,TRANSFER_ARRIVE,4532,4800,4532,4800,5,30,MODERATE,False,LOW,46.0637,-31.7955,2026-08-04T00:15:56Z,CR-FEDEX
EV-010033,LGS-1033-ROUTE,HUB-SEATTLE,HUB-MEMPHIS,HUB-HOUSTON,2026-08-01T00:16:37Z,HUB_INGEST,5405,3600,5405,3600,14,30,CLEAR,False,SEVERE_GRIDLOCK,44.8619,-108.0944,2026-08-02T12:16:37Z,CR-MAERSK
EV-010034,LGS-1034-ROUTE,HUB-CHICAGO,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:16:53Z,CUSTOMS_CLEARANCE,2184,2400,2184,2400,4,30,CLEAR,True,LOW,38.5879,-97.7177,2026-08-02T12:16:53Z,CR-MAERSK
EV-010035,LGS-1035-ROUTE,HUB-ATLANTA,HUB-HOUSTON,HUB-DETROIT,2026-08-01T00:17:33Z,TRANSFER_ARRIVE,4268,4800,4268,4800,27,30,CLEAR,False,HEAVY,34.9785,-30.1161,2026-08-02T00:17:33Z,CR-DHL
EV-010036,LGS-1036-ROUTE,HUB-CHICAGO,HUB-CHICAGO,HUB-NEWYORK,2026-08-01T00:18:07Z,WAYPOINT_SCAN,7122,4800,7122,4800,15,30,CLEAR,False,MODERATE,43.8102,-95.9731,2026-08-04T00:18:07Z,CR-USPS
EV-010037,LGS-1037-ROUTE,HUB-MEMPHIS,HUB-NEWYORK,HUB-LOSANGELES,2026-08-01T00:18:28Z,WAYPOINT_SCAN,4320,4800,4320,4800,20,30,MODERATE,False,HEAVY,27.2863,-13.3991,2026-08-04T00:18:28Z,CR-USPS
EV-010038,LGS-1038-ROUTE,HUB-FRANKFURT,HUB-SEATTLE,HUB-LOSANGELES,2026-08-01T00:18:51Z,HUB_INGEST,2969,2400,2969,2400,29,30,CLEAR,False,LOW,26.2892,-6.245,2026-08-02T12:18:51Z,CR-DHL
EV-010039,LGS-1039-ROUTE,HUB-FRANKFURT,HUB-SEATTLE,HUB-MEMPHIS,2026-08-01T00:19:39Z,CUSTOMS_CLEARANCE,4440,4800,4440,4800,22,30,CLEAR,False,HEAVY,43.8937,-69.0569,2026-08-02T00:19:39Z,CR-MAERSK
EV-010040,LGS-1040-ROUTE,HUB-NEWYORK,HUB-MIAMI,HUB-CHICAGO,2026-08-01T00:20:04Z,WAYPOINT_SCAN,8301,4800,8301,4800,10,30,CLEAR,False,MODERATE,39.8517,-73.3854,2026-08-02T12:20:04Z,CR-DHL
EV-010041,LGS-1041-ROUTE,HUB-CHICAGO,HUB-CHICAGO,HUB-SEATTLE,2026-08-01T00:20:26Z,WAYPOINT_SCAN,4166,3600,4166,3600,17,30,CLEAR,True,HEAVY,44.7974,-108.6949,2026-08-02T12:20:26Z,CR-DHL
EV-010042,LGS-1042-ROUTE,HUB-CHICAGO,HUB-DETROIT,HUB-SEATTLE,2026-08-01T00:21:01Z,YARD_DEPARTURE,4080,4800,4080,4800,4,30,MODERATE,False,LOW,32.5485,1.6055,2026-08-03T00:21:01Z,CR-MAERSK
EV-010043,LGS-1043-ROUTE,HUB-ATLANTA,HUB-ATLANTA,HUB-SEATTLE,2026-08-01T00:21:27Z,YARD_DEPARTURE,4359,4800,4359,4800,1,30,CLEAR,False,HEAVY,27.924,-59.2415,2026-08-04T00:21:27Z,CR-UPS
EV-010044,LGS-1044-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-LOSANGELES,2026-08-01T00:22:04Z,TRANSFER_ARRIVE,6745,3600,6745,3600,28,30,MODERATE,False,HEAVY,36.609,-29.4122,2026-08-02T00:22:04Z,CR-FEDEX
EV-010045,LGS-1045-ROUTE,HUB-MIAMI,HUB-ATLANTA,HUB-CHICAGO,2026-08-01T00:22:22Z,TRANSFER_ARRIVE,2742,2400,2742,2400,6,30,CLEAR,False,LOW,36.5207,-103.713,2026-08-03T00:22:22Z,CR-MAERSK
EV-010046,LGS-1046-ROUTE,HUB-CHICAGO,HUB-FRANKFURT,HUB-MEMPHIS,2026-08-01T00:23:03Z,CUSTOMS_CLEARANCE,2901,2400,2901,2400,8,30,CLEAR,False,LOW,45.4944,-52.1607,2026-08-04T00:23:03Z,CR-DHL
EV-010047,LGS-1047-ROUTE,HUB-ATLANTA,HUB-HOUSTON,HUB-SINGAPORE,2026-08-01T00:23:36Z,WAYPOINT_SCAN,5981,3600,5981,3600,4,30,CLEAR,True,MODERATE,28.2977,-20.0818,2026-08-02T12:23:36Z,CR-USPS
EV-010048,LGS-1048-ROUTE,HUB-SINGAPORE,HUB-SEATTLE,HUB-NEWYORK,2026-08-01T00:23:53Z,HUB_INGEST,4528,2400,4528,2400,24,30,CLEAR,False,LOW,50.544,-44.2827,2026-08-02T00:23:53Z,CR-MAERSK
EV-010049,LGS-1049-ROUTE,HUB-LOSANGELES,HUB-ATLANTA,HUB-FRANKFURT,2026-08-01T00:24:37Z,HUB_INGEST,1947,2400,1947,2400,14,30,CLEAR,False,LOW,26.5119,-73.7193,2026-08-04T00:24:37Z,CR-USPS
EV-010050,LGS-1050-ROUTE,HUB-SINGAPORE,HUB-MEMPHIS,HUB-MIAMI,2026-08-01T00:24:57Z,YARD_DEPARTURE,4446,4800,4446,4800,2,30,CLEAR,False,HEAVY,33.4493,-41.9848,2026-08-02T12:24:57Z,CR-UPS
EV-010051,LGS-1051-ROUTE,HUB-ATLANTA,HUB-CHICAGO,HUB-FRANKFURT,2026-08-01T00:25:23Z,TRANSFER_ARRIVE,4737,4800,4737,4800,5,30,FOG,False,LOW,43.9811,9.4004,2026-08-03T00:25:23Z,CR-UPS
EV-010052,LGS-1052-ROUTE,HUB-MIAMI,HUB-MIAMI,HUB-DETROIT,2026-08-01T00:25:51Z,CUSTOMS_CLEARANCE,5007,4800,5007,4800,15,30,SNOWSTORM,True,MODERATE,44.3715,-32.8394,2026-08-02T00:25:51Z,CR-UPS
EV-010053,LGS-1053-ROUTE,HUB-NEWYORK,HUB-MIAMI,HUB-CHICAGO,2026-08-01T00:26:25Z,YARD_DEPARTURE,3998,2400,3998,2400,19,30,CLEAR,False,MODERATE,40.3105,-57.0786,2026-08-04T00:26:25Z,CR-FEDEX
EV-010054,LGS-1054-ROUTE,HUB-FRANKFURT,HUB-SINGAPORE,HUB-NEWYORK,2026-08-01T00:26:59Z,YARD_DEPARTURE,5295,4800,5295,4800,14,30,CLEAR,False,LOW,26.9156,-9.5241,2026-08-03T00:26:59Z,CR-UPS
