order_id,customer_id,order_date,amount,warehouse_id
ORD-00001,CUST-JOIN-0001,2026-08-01,4104.13,WH-NEWYORK
ORD-00002,CUST-JOIN-0002,2026-08-01,6811.67,WH-MIAMI
ORD-00003,CUST-JOIN-0003,2026-08-01,6304.8,WH-MIAMI
ORD-00004,CUST-JOIN-0004,2026-08-01,3152.59,WH-CHICAGO
ORD-00005,CUST-JOIN-0005,2026-08-01,7505.08,WH-CHICAGO
ORD-00006,CUST-JOIN-0006,2026-08-01,5183.18,WH-MIAMI
ORD-00007,CUST-JOIN-0007,2026-08-01,453.04,WH-NEWYORK
ORD-00008,CUST-JOIN-0008,2026-08-01,6595.56,WH-DETROIT
ORD-00009,CUST-JOIN-0009,2026-08-01,2105.37,WH-MIAMI
ORD-00010,CUST-JOIN-0010,2026-08-01,1833.25,WH-MIAMI
ORD-00011,CUST-JOIN-0011,2026-08-01,1195.85,WH-CHICAGO
ORD-00012,CUST-JOIN-0012,2026-08-01,1083.98,WH-NEWYORK
ORD-00013,CUST-JOIN-0013,2026-08-01,1705.44,WH-MIAMI
ORD-00014,CUST-JOIN-0014,2026-08-01,2222.33,WH-DETROIT
ORD-00015,CUST-JOIN-0015,2026-08-01,2513.61,WH-CHICAGO
ORD-00016,CUST-JOIN-0016,2026-08-01,6353.49,WH-MIAMI
ORD-00017,CUST-JOIN-0017,2026-08-01,2811.59,WH-NEWYORK
ORD-00018,CUST-JOIN-0018,2026-08-01,4404.04,WH-NEWYORK
ORD-00019,CUST-JOIN-0019,2026-08-01,7970.47,WH-NEWYORK
ORD-00020,CUST-JOIN-0020,2026-08-01,3758.36,WH-NEWYORK
ORD-00021,CUST-JOIN-0021,2026-08-01,5613.99,WH-CHICAGO
ORD-00022,CUST-JOIN-0022,2026-08-01,5622.22,WH-MIAMI
ORD-00023,CUST-JOIN-0023,2026-08-01,4537.31,WH-DETROIT
ORD-00024,CUST-JOIN-0024,2026-08-01,7219.32,WH-MIAMI
ORD-00025,CUST-JOIN-0025,2026-08-02,6029.47,WH-CHICAGO
ORD-00026,CUST-JOIN-0026,2026-08-02,5785.39,WH-NEWYORK
ORD-00027,CUST-JOIN-0027,2026-08-02,1013.11,WH-NEWYORK
ORD-00028,CUST-JOIN-0028,2026-08-02,6181.01,WH-MIAMI
ORD-00029,CUST-JOIN-0029,2026-08-02,2913.39,WH-MIAMI
ORD-00030,CUST-JOIN-0030,2026-08-02,4073.49,WH-CHICAGO
ORD-00031,CUST-JOIN-0031,2026-08-02,6008.23,WH-MIAMI
