customer_id,total_transactions,purchase_count,days_as_customer,days_since_last_purchase,total_spent,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
CUST-ACT-00000,83,83,701,75,67667.33,3.55206847360913,815.2690361445783,2895.8914407988586,medium,Q4,3,3,5,11
CUST-ACT-00001,141,141,940,55,64881.43,4.5,460.1519858156028,2070.6839361702127,medium,Q4,4,5,5,14
CUST-ACT-00002,37,37,607,2,7163.32,1.8286655683690278,193.60324324324324,354.03558484349253,low,Q1,5,2,1,8
CUST-ACT-00003,102,102,189,71,15552.9,16.19047619047619,152.47941176470587,2468.714285714286,high,Q1,4,4,2,10
CUST-ACT-00004,46,46,126,9,66289.66,10.952380952380953,1441.0795652173913,15783.252380952381,high,Q4,5,2,5,12
CUST-ACT-00005,104,104,413,128,34266.75,7.554479418886198,329.4879807692308,2489.110169491525,medium,Q2,2,4,3,9
CUST-ACT-00006,74,74,547,134,60290.83,4.058500914076782,814.740945945946,3306.626873857404,medium,Q4,2,3,5,10
CUST-ACT-00007,106,106,697,68,55150.05,4.562410329985653,520.2834905660378,2373.7467718794837,medium,Q3,4,4,4,12
CUST-ACT-00008,111,111,560,175,69441.31,5.946428571428571,625.5973873873874,3720.070178571428,medium,Q4,1,4,5,10
CUST-ACT-00009,28,28,415,104,60381.0,2.0240963855421685,2156.464285714286,4364.89156626506,medium,Q4,3,1,5,9
CUST-ACT-00010,37,37,355,127,46131.0,3.1267605633802815,1246.7837837837837,3898.394366197183,medium,Q3,2,2,4,8
CUST-ACT-00011,36,36,124,148,18602.59,8.709677419354838,516.7386111111111,4500.626612903226,medium,Q1,1,2,2,5
CUST-ACT-00012,39,39,476,22,59227.09,2.4579831932773106,1518.6433333333332,3732.799789915966,medium,Q4,5,2,4,11
CUST-ACT-00013,120,120,951,125,21767.28,3.7854889589905363,181.39399999999998,686.6649842271294,medium,Q2,2,5,2,9
CUST-ACT-00014,14,14,740,101,35123.62,0.5675675675675675,2508.8300000000004,1423.9305405405405,low,Q2,3,1,3,7
CUST-ACT-00015,22,22,278,88,9129.11,2.3741007194244603,414.9595454545455,985.1557553956834,medium,Q1,3,1,1,5
CUST-ACT-00016,55,55,338,173,48948.8,4.881656804733727,889.9781818181818,4344.568047337278,medium,Q3,1,2,4,7
CUST-ACT-00017,28,28,800,132,6757.26,1.05,241.3307142857143,253.39724999999999,low,Q1,2,1,1,4
CUST-ACT-00018,121,121,421,58,21748.34,8.622327790973872,179.73834710743802,1549.7629453681711,medium,Q2,4,5,2,11
CUST-ACT-00019,101,101,297,93,2692.47,10.202020202020202,26.658118811881184,271.96666666666664,high,Q1,3,4,1,8
CUST-ACT-00020,106,106,78,25,58199.42,40.76923076923077,549.0511320754716,22384.392307692306,high,Q4,5,4,4,13
CUST-ACT-00021,69,69,345,2,47392.83,6.0,686.8526086956522,4121.115652173913,medium,Q3,5,3,4,12
CUST-ACT-00022,18,18,588,113,26384.45,0.9183673469387754,1465.802777777778,1346.1454081632653,low,Q2,2,1,2,5
CUST-ACT-00023,42,42,758,81,8018.81,1.662269129287599,190.92404761904763,317.36715039577837,low,Q1,3,2,1,6
CUST-ACT-00024,88,88,951,13,48415.46,2.77602523659306,550.1756818181818,1527.3015772870663,medium,Q3,5,3,4,12
