customer_id,transaction_date,amount,status
CUST-DUP-0001,2026-08-01,197.62,PENDING
CUST-DUP-0002,2026-08-01,778.4,PENDING
CUST-DUP-0003,2026-08-01,1499.72,PENDING
CUST-DUP-0004,2026-08-01,450.49,COMPLETED
CUST-DUP-0005,2026-08-01,1270.7,CANCELLED
CUST-DUP-0006,2026-08-01,1387.61,COMPLETED
CUST-DUP-0007,2026-08-01,1179.22,CANCELLED
CUST-DUP-0008,2026-08-01,987.7,COMPLETED
CUST-DUP-0009,2026-08-01,519.75,CANCELLED
CUST-DUP-0010,2026-08-01,650.6,PENDING
CUST-DUP-0011,2026-08-01,1482.6,PENDING
CUST-DUP-0012,2026-08-01,841.45,PENDING
CUST-DUP-0013,2026-08-01,184.26,CANCELLED
CUST-DUP-0014,2026-08-01,1111.44,CANCELLED
CUST-DUP-0015,2026-08-01,224.42,PENDING
CUST-DUP-0016,2026-08-01,336.33,CANCELLED
CUST-DUP-0017,2026-08-01,780.08,PENDING
CUST-DUP-0018,2026-08-01,442.85,CANCELLED
CUST-DUP-0019,2026-08-01,229.37,COMPLETED
CUST-DUP-0020,2026-08-01,885.63,COMPLETED
CUST-DUP-0021,2026-08-01,1346.78,CANCELLED
CUST-DUP-0022,2026-08-01,782.28,PENDING
CUST-DUP-0023,2026-08-01,853.56,COMPLETED
CUST-DUP-0024,2026-08-01,1475.04,COMPLETED
CUST-DUP-0025,2026-08-02,711.82,PENDING
CUST-DUP-0026,2026-08-02,707.25,CANCELLED
CUST-DUP-0027,2026-08-02,1164.65,COMPLETED
CUST-DUP-0028,2026-08-02,771.2,CANCELLED
CUST-DUP-0029,2026-08-02,157.2,PENDING
CUST-DUP-0030,2026-08-02,762.97,PENDING
CUST-DUP-0031,2026-08-02,1255.36,PENDING
CUST-DUP-0032,2026-08-02,580.42,COMPLETED
CUST-DUP-0033,2026-08-02,104.51,COMPLETED
CUST-DUP-0034,2026-08-02,576.83,PENDING
CUST-DUP-0035,2026-08-02,996.16,COMPLETED
CUST-DUP-0036,2026-08-02,1048.15,PENDING
CUST-DUP-0037,2026-08-02,328.16,COMPLETED
CUST-DUP-0038,2026-08-02,1347.58,COMPLETED
CUST-DUP-0039,2026-08-02,1428.79,COMPLETED
CUST-DUP-0040,2026-08-02,342.05,CANCELLED
CUST-DUP-0041,2026-08-02,317.02,COMPLETED
CUST-DUP-0042,2026-08-02,883.65,CANCELLED
CUST-DUP-0043,2026-08-02,742.61,PENDING
CUST-DUP-0044,2026-08-02,1365.1,COMPLETED
CUST-DUP-0045,2026-08-02,415.89,COMPLETED
CUST-DUP-0046,2026-08-02,516.46,CANCELLED
CUST-DUP-0047,2026-08-02,408.33,CANCELLED
CUST-DUP-0048,2026-08-02,383.3,COMPLETED
CUST-DUP-0049,2026-08-03,474.99,CANCELLED
CUST-DUP-0050,2026-08-03,1030.24,CANCELLED
CUST-DUP-0051,2026-08-03,198.54,PENDING
CUST-DUP-0052,2026-08-03,776.71,COMPLETED
CUST-DUP-0053,2026-08-03,533.84,CANCELLED
CUST-DUP-0054,2026-08-03,1461.29,COMPLETED
CUST-DUP-0055,2026-08-03,721.71,COMPLETED
CUST-DUP-0056,2026-08-03,552.83,CANCELLED
CUST-DUP-0057,2026-08-03,792.01,PENDING
CUST-DUP-0058,2026-08-03,312.77,COMPLETED
CUST-DUP-0059,2026-08-03,559.8,CANCELLED
CUST-DUP-0060,2026-08-03,813.52,CANCELLED
CUST-DUP-0061,2026-08-03,1174.05,PENDING
CUST-DUP-0062,2026-08-03,940.6,COMPLETED
CUST-DUP-0063,2026-08-03,275.34,CANCELLED
CUST-DUP-0064,2026-08-03,1491.21,CANCELLED
CUST-DUP-0065,2026-08-03,697.27,PENDING
CUST-DUP-0066,2026-08-03,481.24,PENDING
CUST-DUP-0067,2026-08-03,238.66,CANCELLED
CUST-DUP-0068,2026-08-03,526.45,COMPLETED
CUST-DUP-0069,2026-08-03,1446.71,CANCELLED
CUST-DUP-0070,2026-08-03,246.8,PENDING
CUST-DUP-0071,2026-08-03,1199.14,COMPLETED
CUST-DUP-0072,2026-08-03,1432.89,COMPLETED
CUST-DUP-0073,2026-08-04,862.01,CANCELLED
CUST-DUP-0074,2026-08-04,1087.96,CANCELLED
CUST-DUP-0075,2026-08-04,1322.19,CANCELLED
