customer_id,order_id,amount,date,segment
CUST-0202,ORD-1000,1885.55,2025-01-01,Consumer
CUST-0535,ORD-1001,3360.76,2025-01-02,Enterprise
CUST-0960,ORD-1002,3346.32,2025-01-03,Mid-Market
CUST-0370,ORD-1003,2976.92,2025-01-04,Mid-Market
CUST-0206,ORD-1004,1409.87,2025-01-05,SMB
CUST-0171,ORD-1005,2828.15,2025-01-06,Enterprise
CUST-0800,ORD-1006,1945.49,2025-01-07,Consumer
CUST-0120,ORD-1007,4859.97,2025-01-08,Mid-Market
CUST-0714,ORD-1008,4252.12,2025-01-09,Mid-Market
CUST-0221,ORD-1009,3622.56,2025-01-10,Consumer
CUST-0566,ORD-1010,1218.13,2025-01-11,SMB
CUST-0314,ORD-1011,1317.54,2025-01-12,Consumer
CUST-0430,ORD-1012,250.15,2025-01-13,Mid-Market
CUST-0558,ORD-1013,3567.78,2025-01-14,Mid-Market
CUST-0187,ORD-1014,598.91,2025-01-15,Mid-Market
CUST-0472,ORD-1015,2224.72,2025-01-16,Consumer
CUST-0199,ORD-1016,1048.51,2025-01-17,Enterprise
CUST-0971,ORD-1017,4484.03,2025-01-18,Mid-Market
CUST-0763,ORD-1018,2403.08,2025-01-19,Enterprise
CUST-0230,ORD-1019,2838.21,2025-01-20,Mid-Market
CUST-0761,ORD-1020,3492.8,2025-01-21,Mid-Market
CUST-0408,ORD-1021,739.69,2025-01-22,Mid-Market
CUST-0869,ORD-1022,3041.87,2025-01-23,Mid-Market
CUST-0443,ORD-1023,2722.21,2025-01-24,SMB
CUST-0591,ORD-1024,1055.15,2025-01-25,Consumer
CUST-0513,ORD-1025,4717.13,2025-01-26,Enterprise
CUST-0905,ORD-1026,3014.38,2025-01-27,Enterprise
CUST-0485,ORD-1027,3489.19,2025-01-28,SMB
CUST-0291,ORD-1028,4408.32,2025-01-29,Mid-Market
CUST-0376,ORD-1029,3140.55,2025-01-30,Mid-Market
CUST-0260,ORD-1030,1513.39,2025-01-31,Mid-Market
CUST-0559,ORD-1031,572.2,2025-02-01,Mid-Market
CUST-0413,ORD-1032,2309.85,2025-02-02,SMB
CUST-0121,ORD-1033,1131.28,2025-02-03,Enterprise
CUST-0352,ORD-1034,2111.72,2025-02-04,SMB
CUST-0847,ORD-1035,4422.24,2025-02-05,Mid-Market
CUST-0956,ORD-1036,1655.51,2025-02-06,Mid-Market
CUST-0660,ORD-1037,654.34,2025-02-07,Mid-Market
CUST-0574,ORD-1038,1813.67,2025-02-08,Mid-Market
CUST-0158,ORD-1039,4538.8,2025-02-09,SMB
