transaction_date,signup_date,amount,revenue,is_active,is_premium
2026-08-01,2026-06-05,1496.79,5185.74,True,False
2026-08-02,2025-08-14,1127.69,9335.72,False,False
2026-08-03,2025-11-27,2723.86,1972.8,True,False
2026-08-04,2025-11-19,1924.65,2831.48,True,True
2026-08-05,2026-04-23,920.31,5272.6,True,True
2026-08-06,2026-03-09,2052.67,8179.22,True,False
2026-08-07,2026-02-21,1715.33,3980.07,False,False
2026-08-08,2025-12-02,1740.55,8647.94,True,False
2026-08-09,2025-12-06,2583.03,3118.08,False,False
2026-08-10,2025-10-25,2919.53,1506.72,True,False
2026-08-11,2026-04-10,3052.0,8612.86,True,False
2026-08-12,2025-10-20,2752.65,829.05,False,False
2026-08-13,2026-04-17,377.79,9472.25,False,False
2026-08-14,2025-09-07,1045.61,2916.26,False,True
2026-08-15,2025-08-16,1029.58,3244.98,False,True
2026-08-16,2026-05-23,2098.52,122.12,False,True
2026-08-17,2025-09-05,2346.67,797.4,True,False
2026-08-18,2026-03-30,1858.63,8382.16,True,True
2026-08-19,2025-10-19,2211.75,5616.61,True,True
2026-08-20,2026-06-11,2979.21,5917.61,True,False
2026-08-21,2026-06-11,423.29,7259.41,True,True
2026-08-22,2025-09-02,2070.35,2140.92,True,False
2026-08-23,2026-01-21,2972.97,5532.31,True,True
2026-08-24,2025-11-10,1042.64,222.85,False,True
2026-08-25,2026-05-08,648.56,8306.66,True,True
2026-08-26,2025-08-26,181.42,8729.1,False,True
2026-08-27,2025-09-10,978.01,2324.75,False,True
2026-08-28,2026-02-07,1426.01,5432.46,False,False
2026-08-29,2025-09-08,2517.76,3130.59,True,False
2026-08-30,2026-04-01,1549.89,3136.65,True,True
2026-08-01,2025-11-30,3096.41,1316.18,False,False
2026-08-02,2026-01-10,2388.8,5498.95,False,False
2026-08-03,2026-02-24,3460.56,7133.46,True,False
2026-08-04,2026-03-26,780.03,7873.97,False,True
2026-08-05,2025-09-15,1877.98,8384.91,True,True
2026-08-06,2026-05-01,2726.31,2482.41,False,False
2026-08-07,2026-05-04,2805.32,3270.03,True,True
