customer_id,customer_name,region,segment,order_id,order_date,amount,warehouse_id
CUST-JOIN-0001,Freight Account 1,Europe,Startup,ORD-00001,2026-08-01,938.89,WH-CHICAGO
CUST-JOIN-0001,Freight Account 1,Europe,Startup,ORD-07501,2026-08-21,4257.24,WH-DETROIT
CUST-JOIN-0002,Freight Account 2,North America,Startup,ORD-00002,2026-08-01,7585.45,WH-CHICAGO
CUST-JOIN-0002,Freight Account 2,North America,Startup,ORD-07502,2026-08-21,1104.83,WH-MIAMI
CUST-JOIN-0003,Freight Account 3,Asia Pacific,Startup,ORD-00003,2026-08-01,4563.49,WH-NEWYORK
CUST-JOIN-0003,Freight Account 3,Asia Pacific,Startup,ORD-07503,2026-08-21,2859.86,WH-DETROIT
CUST-JOIN-0004,Freight Account 4,Europe,SMB,ORD-00004,2026-08-01,4518.19,WH-NEWYORK
CUST-JOIN-0004,Freight Account 4,Europe,SMB,ORD-07504,2026-08-21,2315.51,WH-MIAMI
CUST-JOIN-0005,Freight Account 5,Europe,Startup,ORD-00005,2026-08-01,3092.29,WH-NEWYORK
CUST-JOIN-0005,Freight Account 5,Europe,Startup,ORD-07505,2026-08-22,3669.51,WH-MIAMI
CUST-JOIN-0006,Freight Account 6,Europe,SMB,ORD-00006,2026-08-01,4942.7,WH-MIAMI
CUST-JOIN-0006,Freight Account 6,Europe,SMB,ORD-07506,2026-08-22,2812.7,WH-DETROIT
CUST-JOIN-0007,Freight Account 7,North America,Startup,ORD-00007,2026-08-01,2130.75,WH-MIAMI
CUST-JOIN-0007,Freight Account 7,North America,Startup,ORD-07507,2026-08-22,3179.06,WH-NEWYORK
CUST-JOIN-0008,Freight Account 8,North America,Startup,ORD-00008,2026-08-01,6780.65,WH-NEWYORK
CUST-JOIN-0008,Freight Account 8,North America,Startup,ORD-07508,2026-08-22,1163.66,WH-CHICAGO
CUST-JOIN-0009,Freight Account 9,Europe,SMB,ORD-00009,2026-08-01,5885.98,WH-DETROIT
CUST-JOIN-0009,Freight Account 9,Europe,SMB,ORD-07509,2026-08-22,606.59,WH-MIAMI
CUST-JOIN-0010,Freight Account 10,Europe,SMB,ORD-00010,2026-08-01,1094.15,WH-DETROIT
CUST-JOIN-0010,Freight Account 10,Europe,SMB,ORD-07510,2026-08-22,767.87,WH-CHICAGO
CUST-JOIN-0011,Freight Account 11,Europe,Startup,ORD-00011,2026-08-01,5787.37,WH-NEWYORK
CUST-JOIN-0011,Freight Account 11,Europe,Startup,ORD-07511,2026-08-22,2386.84,WH-CHICAGO
CUST-JOIN-0012,Freight Account 12,Europe,SMB,ORD-00012,2026-08-01,1438.84,WH-CHICAGO
CUST-JOIN-0012,Freight Account 12,Europe,SMB,ORD-07512,2026-08-22,4913.01,WH-MIAMI
CUST-JOIN-0013,Freight Account 13,Asia Pacific,Startup,ORD-00013,2026-08-01,6674.4,WH-NEWYORK
CUST-JOIN-0013,Freight Account 13,Asia Pacific,Startup,ORD-07513,2026-08-22,2252.31,WH-MIAMI
CUST-JOIN-0014,Freight Account 14,Europe,Startup,ORD-00014,2026-08-01,6292.62,WH-NEWYORK
CUST-JOIN-0014,Freight Account 14,Europe,Startup,ORD-07514,2026-08-22,1265.33,WH-MIAMI
CUST-JOIN-0015,Freight Account 15,Europe,Startup,ORD-00015,2026-08-01,3964.71,WH-CHICAGO
CUST-JOIN-0015,Freight Account 15,Europe,Startup,ORD-07515,2026-08-22,417.5,WH-MIAMI
CUST-JOIN-0016,Freight Account 16,Europe,Startup,ORD-00016,2026-08-01,3914.93,WH-MIAMI
CUST-JOIN-0016,Freight Account 16,Europe,Startup,ORD-07516,2026-08-22,3888.24,WH-DETROIT
CUST-JOIN-0017,Freight Account 17,Europe,SMB,ORD-00017,2026-08-01,5327.61,WH-CHICAGO
CUST-JOIN-0017,Freight Account 17,Europe,SMB,ORD-07517,2026-08-22,2035.53,WH-NEWYORK
