hour,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,127115.0,144003.58,133450.64,133054.62,127052.85,124537.98,142505.98
1,148661.33,123586.23,138810.77,130896.24,147213.41999999998,145842.87,144544.44
2,140612.31,128202.53,136272.04,149149.8,133826.62,120545.25,136717.62
3,134254.22,130289.53,130160.39,114650.35,119370.21,134921.63,145064.27
4,143625.5,138964.34,139861.03,139333.82,131118.93,142610.23,134674.3
5,154581.33,137873.13,129037.09,137852.68,132057.55,148498.36000000002,112538.72
6,128669.81,137061.75,128245.66,135924.46,138138.16,125659.0,151726.32
7,136329.5,132530.7,129707.54,131372.32,126496.12,141299.68,128665.41
8,129695.3,136318.75,126682.83,128336.15,128573.55,132488.36,132681.8
9,147019.54,119173.1,129541.09999999999,133819.08,126237.79000000001,125973.11,134301.94
10,122968.76,146059.66,139526.46,113833.41,161334.76,122760.1,122024.92
11,138293.19,147567.21,138082.48,139524.85,137206.61,134028.81,140582.52
12,133384.81,138818.02,128097.14,127827.99,140140.37,137685.01,137063.55
13,146221.51,144623.12,155718.94,117202.03,121447.56,129131.79,144254.84
14,121269.95,120852.18000000001,137291.67,144772.34,138134.57,135138.87,140750.93
15,135545.34,129177.15,142113.49,130988.9,127723.78,138737.09,134882.25
16,140456.27,128631.36,123932.54,126567.03,142356.6,116325.11,113853.89
17,147097.42,134419.21,149836.87,136764.12,132220.28,142061.37,146904.76
18,139379.95,132141.49,145722.83,135519.63,139463.6,141486.36,130093.16
19,138743.96,135215.55,151036.98,152633.76,122674.8,122174.21,147479.49
20,95405.53,139380.95,141848.37,113146.02,135973.86,138950.55,148225.82
21,79071.66,165816.82,142068.97,136145.26,136046.72,164369.74,130697.28
22,83322.18,128524.69,126029.77,162337.34,144582.08,125454.02,133363.16
23,85692.42,138470.32,126035.56,142971.88,131667.94,154868.88999999998,127055.54000000001
