customer_id,transaction_date,amount,status
CUST-DUP-0001,2026-08-01,1050.09,CANCELLED
CUST-DUP-0002,2026-08-01,665.6,COMPLETED
CUST-DUP-0003,2026-08-01,1047.31,CANCELLED
CUST-DUP-0004,2026-08-01,788.95,COMPLETED
CUST-DUP-0005,2026-08-01,873.04,COMPLETED
CUST-DUP-0006,2026-08-01,525.95,PENDING
CUST-DUP-0007,2026-08-01,817.65,COMPLETED
CUST-DUP-0008,2026-08-01,1039.87,PENDING
CUST-DUP-0009,2026-08-01,441.93,PENDING
CUST-DUP-0010,2026-08-01,1463.79,COMPLETED
CUST-DUP-0011,2026-08-01,1224.29,COMPLETED
CUST-DUP-0012,2026-08-01,1280.19,PENDING
CUST-DUP-0013,2026-08-01,641.92,COMPLETED
CUST-DUP-0014,2026-08-01,975.14,PENDING
CUST-DUP-0015,2026-08-01,410.41,CANCELLED
CUST-DUP-0016,2026-08-01,628.87,COMPLETED
CUST-DUP-0017,2026-08-01,1300.47,COMPLETED
CUST-DUP-0018,2026-08-01,340.75,PENDING
CUST-DUP-0019,2026-08-01,1058.61,CANCELLED
CUST-DUP-0020,2026-08-01,854.68,CANCELLED
CUST-DUP-0021,2026-08-01,781.5,CANCELLED
CUST-DUP-0022,2026-08-01,273.79,CANCELLED
CUST-DUP-0023,2026-08-01,749.19,CANCELLED
CUST-DUP-0024,2026-08-01,304.95,CANCELLED
CUST-DUP-0025,2026-08-02,487.13,PENDING
CUST-DUP-0026,2026-08-02,412.78,CANCELLED
CUST-DUP-0027,2026-08-02,608.11,PENDING
CUST-DUP-0028,2026-08-02,1425.88,PENDING
CUST-DUP-0029,2026-08-02,667.94,COMPLETED
CUST-DUP-0030,2026-08-02,159.52,COMPLETED
CUST-DUP-0031,2026-08-02,629.45,PENDING
CUST-DUP-0032,2026-08-02,1140.42,PENDING
CUST-DUP-0033,2026-08-02,1164.7,COMPLETED
CUST-DUP-0034,2026-08-02,924.56,COMPLETED
CUST-DUP-0035,2026-08-02,1210.97,COMPLETED
CUST-DUP-0036,2026-08-02,364.87,CANCELLED
CUST-DUP-0037,2026-08-02,145.85,CANCELLED
CUST-DUP-0038,2026-08-02,530.53,CANCELLED
CUST-DUP-0039,2026-08-02,1291.3,COMPLETED
CUST-DUP-0040,2026-08-02,1194.38,COMPLETED
