event_id,shipment_id,origin_hub,current_facility,destination_hub,event_timestamp,scan_type,dwell_duration_seconds,avg_dwell_baseline_seconds,yard_queue_count,yard_max_capacity,weather_exception,traffic_congestion_level,gps_latitude,gps_longitude,sla_deadline_timestamp,carrier_id
EV-1001,LGS-8842-XT9,HUB-CHICAGO,HUB-CHICAGO,DEST-SINGAPORE,2026-08-04T08:00:00.000Z,HUB_INGEST,3600,3600,12,15,false,MODERATE,41.8781,-87.6298,2026-08-05T12:00:00.000Z,CR-FEDEX
EV-1002,LGS-8842-XT9,HUB-CHICAGO,HUB-CHICAGO,DEST-SINGAPORE,2026-08-04T08:00:05.000Z,HUB_INGEST,3600,3600,12,15,false,MODERATE,41.8781,-87.6298,2026-08-05T12:00:00.000Z,CR-FEDEX
EV-1003,LGS-8842-XT9,HUB-CHICAGO,HUB-DETROIT,DEST-SINGAPORE,2026-08-04T10:30:00.000Z,WAYPOINT_SCAN,7200,3600,11,15,true,HEAVY,42.3314,-83.0458,2026-08-05T12:00:00.000Z,CR-FEDEX
EV-1004,SH-7777,HUB-DETROIT,HUB-DETROIT,HUB-FRANKFURT,2026-08-04T09:15:00.000Z,HUB_INGEST,4500,3600,11,15,false,LOW,42.3314,-83.0458,2026-08-06T18:00:00.000Z,CR-DHL
EV-1005,SH-7777,HUB-DETROIT,HUB-FRANKFURT,HUB-FRANKFURT,2026-08-04T12:00:00.000Z,TRANSFER_ARRIVE,1800,2400,8,15,false,LOW,50.1109,8.6821,2026-08-06T18:00:00.000Z,CR-DHL
EV-1006,LGS-9012-HQ3,HUB-[#0d1321],HUB-[#0d1321],HUB-CHICAGO,2026-08-04T07:00:00.000Z,HUB_INGEST,-500,3600,10,15,false,MODERATE,0,0,2026-08-05T15:00:00.000Z,CR-UPS
EV-1007,LGS-9012-HQ3,HUB-[#0d1321],HUB-[#0d1321],HUB-CHICAGO,2026-08-04T07:00:03.000Z,HUB_INGEST,-500,3600,10,15,false,MODERATE,0,0,2026-08-05T15:00:00.000Z,CR-UPS
EV-1008,LGS-4411-WH2,HUB-SEATTLE,HUB-SEATTLE,HUB-MEMPHIS,2026-08-04T06:45:00.000Z,HUB_INGEST,3600,3600,5,15,false,LOW,47.6062,-122.3321,2026-08-06T09:00:00.000Z,CR-USPS
EV-1009,LGS-4411-WH2,HUB-SEATTLE,HUB-MEMPHIS,HUB-MEMPHIS,2026-08-04T11:15:00.000Z,WAYPOINT_SCAN,2800,2400,7,15,false,MODERATE,35.1495,-90.0490,2026-08-06T09:00:00.000Z,CR-USPS
EV-1010,LGS-5522-NY1,HUB-NEWYORK,HUB-NEWYORK,HUB-MIAMI,2026-08-04T08:30:00.000Z,HUB_INGEST,200000,3600,14,15,true,HEAVY,40.7128,-74.0060,2026-08-05T20:00:00.000Z,CR-MAERSK
EV-1011,LGS-5522-NY1,HUB-NEWYORK,HUB-NEWYORK,HUB-MIAMI,2026-08-04T08:30:04.000Z,HUB_INGEST,200000,3600,14,15,true,HEAVY,40.7128,-74.0060,2026-08-05T20:00:00.000Z,CR-MAERSK
EV-1012,LGS-3319-LAX,HUB-LOSANGELES,HUB-LOSANGELES,HUB-CHICAGO,2026-08-04T09:00:00.000Z,HUB_INGEST,3600,3600,6,15,false,LOW,34.0522,-118.2437,2026-08-06T14:00:00.000Z,CR-FEDEX
EV-1013,LGS-3319-LAX,HUB-LOSANGELES,HUB-[#0d1321],HUB-CHICAGO,2026-08-04T13:30:00.000Z,WAYPOINT_SCAN,4200,3600,10,15,false,MODERATE,29.7604,-95.3698,2026-08-06T14:00:00.000Z,CR-FEDEX
EV-1014,LGS-7788-ATL,HUB-ATLANTA,HUB-ATLANTA,HUB-NEWYORK,2026-08-04T10:00:00.000Z,HUB_INGEST,3100,3600,9,15,false,LOW,33.7490,-84.3880,2026-08-05T18:00:00.000Z,CR-UPS
EV-1015,LGS-7788-ATL,HUB-ATLANTA,HUB-ATLANTA,HUB-NEWYORK,2026-08-04T10:00:02.000Z,HUB_INGEST,3100,3600,9,15,false,LOW,33.7490,-84.3880,2026-08-05T18:00:00.000Z,CR-UPS
EV-1016,LGS-9900-ORD,HUB-CHICAGO,HUB-CHICAGO,HUB-SEATTLE,2026-08-04T11:00:00.000Z,HUB_INGEST,5400,3600,12,15,true,HEAVY,0,0,2026-08-06T10:00:00.000Z,CR-DHL
